GCVS,STAR,CONST.,RA(2000),DEC,Type,V [mag],P [days],Spec
150071,AR    ,CMi, 7h 37m  2.8s,  4o  0' 12",EA  ,15.  ,   1.686      ,              
150075,AV    ,CMi, 7h  9m 10.9s, 12o 11' 19",EA  ,11.44,   2.277757   ,              
150078,AY    ,CMi, 7h 13m 54.5s,  8o 25' 45",EA  ,14.1 ,   3.92047    ,              
150080,BB    ,CMi, 7h 51m 24.5s,  4o 54' 39",EB  ,10.06,   0.7928587  ,A5            
150084,BF    ,CMi, 7h 30m 18.9s,  4o 31' 21",EA  ,10.70,   2.3613565  ,              
150086,BH    ,CMi, 8h  2m 36.4s,  1o 43' 50",EW  ,10.06,   0.5592490  ,              
150089,BL    ,CMi, 7h 23m 49.2s,  1o 37'  3",EB  ,11.5 ,   5.90385    ,              
150098,BU    ,CMi, 7h 58m  5.9s,  7o 12' 48",EA  , 6.44,   2.93996    ,A0V           
150101,BX    ,CMi, 7h 10m 46.3s,  7o 53' 50",EA  ,10.81,   1.535092   ,              
150103,BZ    ,CMi, 7h 11m 52.6s,  4o  4'  5",EA  ,11.51,   2.545957   ,              
150123,CW    ,CMi, 7h 50m 45.5s,  0o  0' 11",EW  ,10.9 ,   0.3131932  ,              
150124,CX    ,CMi, 7h 13m 34.1s, 10o 15' 12",EB  ,11.38,   1.121971   ,              
150126,CZ    ,CMi, 7h 16m 57.3s,  9o 12' 35",EW  ,10.65,   0.4263963  ,              
150130,DG    ,CMi, 7h 18m 33.4s,  9o 29' 39",EA  ,11.94,   0.99369    ,              
150133,DK    ,CMi, 7h 33m 14.2s,  2o 44' 16",EA  ,11.88,   5.04735    ,              
150134,DL    ,CMi, 7h 44m 36.4s,  7o 16' 52",EA  ,12.86,   4.01732    ,              
150135,DM    ,CMi, 7h 53m 59.9s,  3o 44' 59",EA  , 8.13,   7.72461    ,A0V           
150140,DR    ,CMi, 7h 24m 31.4s,  3o  3' 27",EA  ,11.08,  23.7704     ,              
150141,DS    ,CMi, 7h 25m 19.0s,  0o  4' 59",EW  ,11.6 ,   0.649350   ,              
150145,DW    ,CMi, 7h 40m 33.1s,  4o 42' 20",EW  ,14.5 ,   0.3075555  ,              
150146,DX    ,CMi, 7h 46m 53.2s,  0o 35' 44",EA  ,12.05,   2.303178   ,              
150150,EF    ,CMi, 7h 52m 50.4s,  0o 14' 10",RRC ,12.2 ,   0.198485   ,              
150151,EG    ,CMi, 7h 53m 30.4s,  1o 18' 52",EW  ,13.2 ,   0.533620   ,              
150153,EI    ,CMi, 7h 57m  6.3s,  1o 17' 19",EW  ,13.0 ,   0.362538   ,              
150155,EL    ,CMi, 7h 59m 46.8s,  0o 21'  6",EA  ,11.8 ,   1.053830   ,              
150159,EP    ,CMi, 8h 10m  0.9s,  0o 10' 21",EB  ,12.2 ,   2.7255     ,              
150160,EQ    ,CMi, 8h 10m 44.7s,  1o  3' 30",EW  ,13.0 ,   0.479536   ,              
150162,ES    ,CMi, 7h  8m 39.7s, 12o 14' 43",EW  ,14.4 ,   0.371038   ,              
150163,ET    ,CMi, 7h  9m 20.8s, 12o 12' 14",EW  ,12.8 ,   0.435898   ,              
150164,EU    ,CMi, 7h 12m 14.1s,  8o 40' 10",EW  ,12.7 ,   0.443859   ,              
150165,EV    ,CMi, 7h 13m 10.9s,  2o 24' 25",EW  ,13.7 ,   0.289606   ,              
150166,EW    ,CMi, 7h 17m 35.5s,  7o  4' 12",EW  ,13.3 ,   0.274650   ,              
150167,EX    ,CMi, 7h 24m 21.5s, 11o 27' 42",EW  ,12.15,   0.286841   ,              
150176,FM    ,CMi, 7h 55m 30.0s,  1o 25'  2",EB  ,11.1 ,   0.746713   ,              
160015,RW    ,Cap,20h 17m 56.1s,-17o 40' 23",EA  ,10.19,   3.3921822  ,A3+A4         
160032,TY    ,Cap,20h 24m 29.7s,-12o 57' 55",EA  ,10.30,   1.4234624  ,A2/3V         
160036,UW    ,Cap,20h 20m 51.3s,-10o 30' 54",EA  ,10.77,   0.6995606  ,              
160048,WZ    ,Cap,21h 23m 17.4s,-15o 10' 52",EW  ,13.19,   0.3130887  ,              
160058,AD    ,Cap,21h 39m 48.9s,-16o  0' 21",EB /, 9.62,   2.9591714  ,K0IV/V        
160060,AF    ,Cap,20h 14m 54.1s,-21o  5' 39",EA  ,10.75,   5.9356076  ,              
160063,AI    ,Cap,20h 17m 28.4s,-10o 57' 38",EA  ,12.06,   3.083678   ,              
160070,AQ    ,Cap,21h  3m 16.5s,-18o 41' 55",EW  ,12.6 ,   0.317387   ,              
160084,BF    ,Cap,20h 18m 28.6s,-19o 17' 29",EB  , 8.82,   0.532676   ,F0V           
160094,BQ    ,Cap,21h 37m 36.2s,-20o 25' 54",EA  , 8.00,   1.4740844  ,F3V           
160112,CL    ,Cap,20h 18m 26.8s,-18o 58' 19",EW  ,12.9 ,   0.39118    ,              
160113,CM    ,Cap,20h 19m 49.6s,-12o 30' 38",EW  , 9.72,   0.4188988  ,F8/G0V        
160117,CQ    ,Cap,21h 26m 32.7s,-17o 52' 42",EB  , 8.82,   0.6908052  ,A9V           
160122,CV    ,Cap,20h 19m  8.4s,-16o 48'  0",EW  ,13.60,   0.3219635  ,              
160123,CW    ,Cap,20h 19m 11.3s,-16o 39' 58",EW  ,14.26,   0.3641651  ,              
160127,DD    ,Cap,20h 34m 25.0s,-10o 40' 58",EA/R,10.03,   7.3457     ,K1III         
169004,del   ,Cap,21h 47m  2.4s,-16o  7' 38",EA  , 2.81,   1.0227688  ,A7mIII        
170007,X     ,Car, 8h 31m 16.8s,-59o 13' 37",EB  , 7.80,   1.0826311  ,A0V           
170019,SS    ,Car,10h 58m 10.6s,-61o 54' 57",EA  ,12.3 ,   6.601351   ,              
170020,ST    ,Car,10h 15m 53.1s,-60o 12' 55",EB  , 9.56,   0.9016495  ,A0IV          
170023,SW    ,Car,10h 26m 57.1s,-58o 16' 34",EA  ,10.53,   8.1660595  ,A0            
170057,AC    ,Car, 7h  6m 48.0s,-58o 22' 51",SRB , 8.3 ,  92.5        ,M7III         
170072,AS    ,Car,10h 24m 23.5s,-60o 14' 57",EA  ,11.54,   2.7659595  ,              
170076,AW    ,Car,10h 32m 35.1s,-60o 46' 10",EA  ,12.2 ,   6.51070    ,              
170089,BL    ,Car,10h 44m 51.6s,-59o 50' 28",EA  ,14.5 ,   3.35531    ,              
170093,BP    ,Car,10h 46m 41.9s,-60o  9' 46",EA  ,11.5 ,   9.64480    ,              
170096,BS    ,Car,10h 48m 11.0s,-62o 57' 10",EW  ,14.7 ,   0.292506   ,              
170098,BU    ,Car,10h 50m 36.0s,-59o 30' 19",EB  ,13.2 ,   1.55515    ,              
170105,CD    ,Car,10h 57m  6.5s,-61o  1' 12",EA  ,12.95,   2.96749    ,              
170115,CO    ,Car,10h 17m 56.6s,-63o 22' 30",EA  ,11.08,   8.3084043  ,              
170122,CV    ,Car,10h 45m 44.4s,-57o 55'  0",EA  ,10.30,  14.415277   ,A3            
170124,CX    ,Car,10h 57m 35.2s,-58o 33' 12",EA  ,11.40,   3.3471303  ,A             
170127,DD    ,Car,11h  5m 52.8s,-63o 29' 55",EA  ,13.3 ,   1.442703   ,              
170130,DG    ,Car,11h 12m  8.9s,-61o 14' 23",EA  ,11.47,  34.7246     ,              
170133,DK    ,Car,11h 16m 57.9s,-60o 29' 28",EA  ,11.82,  11.35318    ,              
170136,DN    ,Car,10h 10m 40.5s,-60o 42' 42",EA  ,13.  ,   1.452772   ,              
170137,DO    ,Car,10h 13m 20.6s,-59o 13'  7",EA  , 9.01,   3.8520017  ,A1IV-V        
170138,DP    ,Car,10h 14m 55.9s,-58o 24' 14",EA  ,13.  ,   7.5637     ,A8            
170139,DQ    ,Car,10h 21m 56.7s,-57o 14' 41",EA  ,11.06,   1.733670   ,A0            
170140,DR    ,Car,10h 24m 41.4s,-60o 29' 55",EA  ,11.36,   3.995788   ,B5            
170141,DS    ,Car,10h 31m  4.8s,-61o 39' 47",EA  ,13.0 ,   1.098715   ,              
170142,DT    ,Car,10h 36m 52.6s,-58o 36' 27",EA  ,14.5 ,   4.2866     ,              
170143,DU    ,Car,10h 37m 36.0s,-64o 15' 54",EA  ,13.5 ,   4.9695     ,              
170144,DV    ,Car,10h 40m  4.6s,-60o 12' 16",EA  ,10.53,   1.681479   ,B8            
170145,DW    ,Car,10h 43m 10.1s,-60o  2' 11",EB  , 9.68,   1.327747   ,B1V+B1V       
170146,DX    ,Car,10h 44m 48.2s,-62o 23' 54",EA  ,11.49,  10.50331    ,B5-B6         
170148,DZ    ,Car,10h 58m  9.9s,-59o 23'  1",EA  ,13.  ,   2.3921     ,              
170150,EF    ,Car,11h  0m 36.3s,-57o 12' 41",EA  ,12.8 ,   6.58232    ,              
170151,EG    ,Car,11h  1m 59.4s,-57o 45' 21",EA  ,13.5 ,   6.913289   ,              
170152,EH    ,Car,11h  4m 23.8s,-61o 18' 23",EA  ,12.5 ,  13.33406    ,              
170153,EI    ,Car,11h  5m 13.7s,-62o 16'  0",EA  ,14.  ,   0.90145    ,              
170154,EK    ,Car,11h  5m 57.5s,-59o 38' 50",EA  ,14.  ,   1.75106    ,              
170155,EL    ,Car,11h  6m 42.5s,-64o 35' 39",EA  ,13.5 ,   3.46824    ,              
170156,EM    ,Car,11h 12m  4.5s,-61o  5' 42",EA  , 8.37,   3.4142647  ,O8V           
170157,EN    ,Car,11h 12m  7.5s,-60o 43' 15",EA  ,10.28,   3.070075   ,B3-B5         
170158,EO    ,Car,11h 19m 38.7s,-57o 17' 22",EA  ,13.5 ,   2.15225    ,              
170160,EQ    ,Car,10h 47m 19.8s,-58o 28' 12",EA  ,13.5 ,  25.5190     ,              
170164,EU    ,Car,10h 16m  6.5s,-62o  5' 54",EA  ,14.  ,   2.52589    ,              
170167,EX    ,Car,10h 24m 59.6s,-63o 38' 10",EA  ,11.15,   1.39635    ,              
170169,EZ    ,Car,10h 42m 53.9s,-62o 23' 32",EA  , 9.94,   1.1886882  ,B4III-IV      
170171,FG    ,Car,10h 47m 30.1s,-57o 33'  2",EA  ,13.  ,   2.262515   ,              
170175,FL    ,Car,10h 53m 54.4s,-61o 27' 21",SRB ,11.7 , 204.8        ,              
170179,FP    ,Car,11h  4m 35.9s,-62o 34' 22",EA  , 9.76, 176.044      ,B5/7          
170182,FS    ,Car,10h 38m 39.2s,-59o  9' 32",EA  ,11.64,   2.146411   ,              
170185,FV    ,Car,10h 42m 31.9s,-61o 57' 56",EA  ,12.9 ,   2.111537   ,              
170190,GG    ,Car,10h 55m 58.9s,-60o 23' 33",*   , 8.4 ,  31.047      ,B0/2eq        
170194,GL    ,Car,11h 14m 39.8s,-60o 39' 36",EA  , 9.53,   2.4223022  ,B3 V          
170195,GM    ,Car,10h 37m 15.6s,-59o 14' 23",EB  , 9.13,   1.5354441  ,B8II-III      
170196,GN    ,Car,11h  8m 59.7s,-64o 19' 28",EA  ,12.8 ,   4.3440136  ,              
170197,GO    ,Car,10h 20m  8.9s,-61o 34' 52",EA  ,14.3 ,   2.75646    ,              
170198,GP    ,Car,10h 30m  1.0s,-59o  4' 44",EB  ,11.5 ,   2.464165   ,              
170199,GQ    ,Car,10h 36m 20.8s,-60o 35' 41",EB  ,12.0 ,   0.6837403  ,              
170200,GR    ,Car,10h 38m 50.7s,-58o 12' 37",EA  ,13.68,  17.13952    ,              
170203,GU    ,Car,11h  6m 52.3s,-57o 14'  3",EA  ,11.21,   3.490481   ,B8-B9         
170204,GV    ,Car,11h  5m 32.9s,-58o 43' 49",EA  , 8.92,   4.2946277  ,A0mA1IV+      
170205,GW    ,Car, 9h 36m 23.3s,-59o 59'  9",EB  , 9.57,   1.1289144  ,B1III n       
170209,HH    ,Car,10h 53m 36.7s,-59o 27' 17",EB  ,10.30,   3.2315055  ,Bea           
170210,HI    ,Car,11h  1m 27.1s,-60o 26' 28",EA  ,10.57,   2.2273616  ,B5            
170212,HL    ,Car,10h  4m 42.8s,-61o 50' 35",EA  ,10.72,  18.225005   ,              
170214,HN    ,Car,10h 10m 24.9s,-61o  0'  0",EA  ,13.7 ,   1.391875   ,              
170216,HP    ,Car,10h 19m 35.7s,-57o 24' 18",EB  , 8.79,   1.6004536  ,B2IIIn        
170220,HT    ,Car,10h 28m 22.5s,-57o 44' 48",EW  ,13.8 ,   0.6629146  ,              
170222,HV    ,Car,10h 35m 27.3s,-57o 29' 38",EA  ,14.0 ,   2.583908   ,              
170224,HX    ,Car,10h 43m 50.8s,-59o 52' 38",EA  ,14.4 ,   3.242949   ,              
170226,HZ    ,Car,10h 46m 11.9s,-60o  0' 34",EA  ,14.6 ,  38.35941    ,              
170234,IQ    ,Car,11h  5m 29.4s,-57o 55' 44",EA  ,13.8 ,  14.2860     ,              
170235,IR    ,Car,11h  9m  6.5s,-59o 40' 28",EW  ,11.80,   0.3460653  ,              
170236,IS    ,Car,11h 11m 23.0s,-62o 26' 11",EW  ,12.6 ,   0.4295901  ,              
170239,IV    ,Car,10h  2m 36.7s,-58o 57' 22",EA  ,11.52,   2.7428124  ,              
170249,KP    ,Car,10h 13m 29.6s,-72o 41' 30",EA  ,11.08,  12.19114    ,              
170250,KQ    ,Car, 9h 29m 19.5s,-60o 51' 22",EA  ,10.16,   2.318374   ,B8III-IV      
170254,KU    ,Car,10h 37m 45.2s,-58o 40' 11",EA  ,10.96,   2.960561   ,              
170266,LR    ,Car, 9h 11m  3.7s,-66o  3' 43",EB  ,13.3 ,   0.852916   ,              
170284,MV    ,Car, 9h 33m 22.9s,-68o 57'  1",EB  ,12.92,   0.65776    ,              
170302,OO    ,Car, 9h 56m  8.9s,-58o 28' 42",EA  ,14.3 ,   4.722075   ,              
170307,OT    ,Car, 9h 59m  7.5s,-68o 23' 27",EB  ,12.0 ,   0.8245921  ,              
170309,OV    ,Car,10h  3m 21.9s,-61o 18' 22",EA  ,13.3 ,   1.276572   ,              
170312,OY    ,Car,10h  6m 22.2s,-70o 14'  5",UGSU,11.9 , 346.5        ,pec UG        
170318,PT    ,Car,11h  3m 17.6s,-74o 56' 37",EA  ,12.8 ,   2.6435906  ,              
170321,PW    ,Car,11h 18m  9.7s,-74o 34' 46",EA  ,13.2 ,   2.914016   ,              
170322,PX    ,Car, 6h 21m  0.2s,-54o 32' 56",EB  , 9.62,   0.7950994  ,A9IV          
170323,PY    ,Car, 7h 34m 58.9s,-63o 44'  3",EA  ,10.32,   3.340806   ,              
170324,PZ    ,Car,10h 37m 45.2s,-61o 28' 26",EA  , 9.63,  10.402950   ,G5            
170325,QQ    ,Car, 8h 46m 42.4s,-58o  5' 36",EA  ,11.82,  11.019194   ,              
170326,QR    ,Car, 9h 51m  8.4s,-67o 26' 11",EB  , 9.35,   0.7490024  ,A3            
170327,QS    ,Car,10h 34m 17.5s,-71o  9' 53",EA  , 9.25,   4.600299   ,F3            
170328,QT    ,Car,10h 52m 21.2s,-71o 53' 33",EA  ,11.08,   1.632503   ,              
170331,QW    ,Car, 9h 32m 57.6s,-74o 16' 34",EA  ,11.64,   2.8532042  ,              
170332,QX    ,Car, 9h 54m 33.9s,-58o 25' 16",EA  , 6.62,   4.478016   ,B5V+B5V       
170334,QZ    ,Car,10h 44m 22.9s,-59o 59' 36",EB  , 6.20,   5.9991     ,O9.7Ib +O9.5II
170338,V0338 ,Car,11h 13m 52.3s,-58o 36' 30",EA  , 9.19,  74.6429     ,B9ea          
170347,V0347 ,Car,10h 13m 33.8s,-73o 20'  4",EA  , 8.84,   5.725611   ,A3mA5-F0      
170348,V0348 ,Car,10h 26m 59.0s,-57o 40' 32",EB  , 8.60,   5.562168   ,B1III+B       
170377,V0377 ,Car, 9h 25m 27.1s,-57o 21' 44",EA  , 8.05,   2.242643   ,B4V           
170392,V0392 ,Car, 7h 58m 10.5s,-60o 51' 57",EA  , 9.50,   3.174990   ,A2V           
170454,V0454 ,Car, 7h 32m 46.2s,-53o 33' 18",EB  , 6.92,   0.9804228  ,B4/B5V        
170462,V0462 ,Car, 8h  2m 15.5s,-55o 32' 26",EB  , 6.68,   1.105686   ,B3V n         
170466,V0466 ,Car, 8h 18m  5.0s,-60o 18' 50",EA  , 7.27,   3.455800   ,B8/B9V        
170467,V0467 ,Car, 8h 20m  1.7s,-56o 51' 29",EA  , 8.02,   7.04615    ,B9IV          
170493,V0493 ,Car, 9h 57m 40.3s,-59o 42' 51",EA  , 8.87,   3.22943    ,B9IV          
170529,V0529 ,Car,11h  3m 12.8s,-63o  3' 59",EA  , 8.10,   4.74461    ,B8V           
170573,V0573 ,Car,10h 45m  8.2s,-59o 40' 49",EA  , 9.45,   1.4693316  ,O9.5V+B0.3V   
170575,V0575 ,Car, 7h 24m 49.6s,-51o 28' 26",EA  , 7.80,   7.050582   ,F2V           
170592,V0592 ,Car, 9h 33m 45.3s,-66o  1' 17",EW  ,10.85,   0.8010985  ,              
