GCVS,STAR,CONST.,RA(2000),DEC,Type,V[mag],P[days],Spec
310283,MU,Cyg,21h59m13.5s,44o42'0",EB,14.1,3.76060,
310287,MY,Cyg,20h20m3.4s,33o56'35",EA/D,8.30,4.0051873,A7m+A5m
310296,NU,Cyg,19h51m37.7s,39o7'20",EW/K,14.3,0.281125,
310300,NY,Cyg,19h52m34.6s,37o55'44",EA/D,13.8,12.0507,A1
310301,NZ,Cyg,19h52m37.5s,38o42'58",EW/K,13.7,0.405969,
310302,OO,Cyg,19h52m44.9s,37o58'47",E,14.1,,
310303,OP,Cyg,19h52m48.4s,38o13'17",E/KE,14.8,1.456275,
310305,OR,Cyg,19h53m35.9s,37o58'59",E/KE,14.4,1.104446,A4
310307,OT,Cyg,19h54m7.4s,38o18'37",E/SD,15.6,1.021447,A1
310308,OU,Cyg,19h54m10.2s,38o41'34",E/DW,15.5,0.560327,F3
310310,OW,Cyg,19h54m30.3s,37o30'21",E,14.6,2.65882,
310315,PQ,Cyg,19h55m36.3s,37o51'21",E/KE,13.8,1.211183,A8
310320,PV,Cyg,19h56m29.2s,37o43'9",E/SD,12.7,1.314855,A1
310321,PW,Cyg,19h56m31.0s,39o30'30",EA,13.3,2.021779093,
310323,PY,Cyg,19h56m57.2s,38o55'5",EW/K,14.8,0.4650306,
310327,QS,Cyg,19h57m39.5s,38o48'20",E/KE,13.2,1.044000,A0
310328,QT,Cyg,19h58m7.4s,38o49'28",EA/S,14.8,3.33558992,A5
310329,QU,Cyg,19h58m27.9s,38o13'27",E,14.5,0.3469103,
310331,QW,Cyg,19h58m30.5s,37o29'14",EB,13.9,0.587647322,
310332,QX,Cyg,19h58m34.8s,38o14'35",E/DW,14.3,0.89961,F1
310340,V0340,Cyg,20h0m54.4s,39o1'44",EA,14.4,4.06705564,
310344,V0344,Cyg,20h4m15.0s,38o57'27",E,14.3,0.967127,
310345,V0345,Cyg,20h10m10.7s,30o28'54",EA/D,11.3,2.075493,A1
310346,V0346,Cyg,20h19m24.7s,36o20'24",EA/S,11.8,2.743282,A5
310348,V0348,Cyg,20h54m25.9s,43o58'21",INS,14.8,,
310355,V0355,Cyg,21h3m17.8s,46o8'53",EA/D,14.2,8.43111,
310366,V0366,Cyg,20h44m29.8s,54o6'7",EB/K,10.0,1.0960183,A5
310367,V0367,Cyg,20h47m59.6s,39o17'15",EB/G,6.67,18.59773,B8peIa+F4III
310370,V0370,Cyg,19h43m38.1s,32o47'35",EB/S,11.8,0.77454388,A0
310371,V0371,Cyg,20h18m21.6s,30o9'21",EA/G,12.2,45.3796,G5III
310374,V0374,Cyg,20h47m9.6s,35o0'11",EA,13.1,4.24970,
310375,V0375,Cyg,20h47m29.0s,35o53'29",SRA,12.6,180.,M6.5
310377,V0377,Cyg,21h3m12.2s,29o7'12",EA/S,14.4,3.3869,
310379,V0379,Cyg,19h44m25.2s,50o31'7",E/SD,13.0,6.100,
310380,V0380,Cyg,19h50m37.3s,40o35'59",EA/D,5.61,12.425612,B1III+B3V
310382,V0382,Cyg,20h18m47.2s,36o20'26",EB,8.29,1.8855146,O7+O8V
310385,V0385,Cyg,20h53m47.6s,35o33'9",EA/S,12.3,1.2280478,
310387,V0387,Cyg,21h15m37.4s,37o29'51",EA/K,11.5,0.6405964,A4+G5
310388,V0388,Cyg,20h29m12.9s,31o23'12",EB/K,8.9,0.8590372,A3
310393,V0393,Cyg,19h58m48.3s,43o17'44",EA/D,9.0,13.63354,A0
310398,V0398,Cyg,20h46m50.8s,34o12'3",EA,12.5,9.2122,
310401,V0401,Cyg,19h29m20.3s,30o24'28",EW/K,10.64,0.5827220,F0
310409,V0409,Cyg,21h11m2.3s,49o42'4",EA/D,13.3,37.726,
310418,V0418,Cyg,20h1m10.2s,43o6'52",EA/S,14.6,1.9871076,
310435,V0435,Cyg,20h16m27.0s,38o45'40",EA/S,12.7,6.771923,
310442,V0442,Cyg,20h27m52.3s,30o47'28",EA,10.0,2.3859476,F4+F5
310443,V0443,Cyg,20h27m45.6s,38o41'23",EA,12.3,0.8311017,
310444,V0444,Cyg,20h19m32.4s,38o43'54",EA/W,7.92,4.212424,O6+WN5.5
310445,V0445,Cyg,20h28m19.0s,38o17'43",EA/S,11.7,1.947738,
310447,V0447,Cyg,20h5m53.2s,35o52'11",EA/S,13.1,2.205587,A3+F5
310448,V0448,Cyg,20h6m9.9s,35o23'9",EB/S,7.90,6.5197162,O9.5e+B1Ib-II
310453,V0453,Cyg,20h6m35.0s,35o44'26",EA/D,8.29,3.8898128,B0.5IV+B1V
310454,V0454,Cyg,20h15m56.8s,37o30'30",EB/S,11.8,2.3168937,B5
310455,V0455,Cyg,20h26m20.9s,39o40'10",EB/D,10.4,8.76573,B2pe
310456,V0456,Cyg,20h28m50.8s,39o9'13",EA/S,10.8,0.89119220,A2
310458,V0458,Cyg,21h8m7.3s,45o39'30",EA/S,14.1,3.533735,
310463,V0463,Cyg,19h42m13.9s,31o18'2",EA/D,10.55,2.117562,A0V
310466,V0466,Cyg,19h54m33.5s,33o0'5",EA,10.8,1.39156629,F4
310469,V0469,Cyg,20h14m48.9s,34o44'22",EA/S,12.8,1.312516,
310470,V0470,Cyg,20h19m21.7s,40o53'16",ELL/,8.53,1.873142,B2+B2
310474,V0474,Cyg,19h14m1.6s,49o5'41",EA/D,11.3,23.65881,F8
310477,V0477,Cyg,20h5m27.7s,31o58'18",EA/D,8.50,2.3469906,A3V+F5V
310478,V0478,Cyg,20h19m38.8s,38o20'9",EA/D,8.63,2.8808994,O9.5Vp+B0V
310483,V0483,Cyg,20h0m45.9s,31o50'2",EB/D,11.6,2.6042757,B8
310484,V0484,Cyg,20h0m41.8s,35o14'22",EA/S,13.5,1.293825,
310486,V0486,Cyg,20h5m3.4s,34o42'49",EA/S,14.2,7.706555,
310488,V0488,Cyg,20h9m39.3s,30o23'13",EB/D,12.7,0.560513,G0
310490,V0490,Cyg,20h9m57.0s,31o22'11",EB,13.1,1.140252,F8
310493,V0493,Cyg,20h13m25.8s,32o55'27",EA/K,12.8,1.275083,
310494,V0494,Cyg,20h13m56.3s,34o16'49",EB,13.5,1.794321,
310496,V0496,Cyg,20h19m40.4s,35o47'10",EA/K,12.1,1.474915,
310498,V0498,Cyg,20h23m10.8s,39o9'44",EA/D,9.98,3.4848355,B1III
310499,V0499,Cyg,20h24m2.5s,33o8'33",EA,13.1,0.7507753,
310500,V0500,Cyg,20h24m40.4s,34o57'5",EA/S,11.9,0.9242137,
310501,V0501,Cyg,20h26m6.1s,34o6'41",EA,12.7,2.806273,
310502,V0502,Cyg,20h26m28.8s,42o41'45",EW,13.6,0.566958,
310504,V0504,Cyg,20h28m9.5s,32o54'29",EB,14.0,,
310505,V0505,Cyg,20h29m28.9s,32o47'50",EB,11.7,0.6676720,F0
310508,V0508,Cyg,20h34m5.9s,46o52'16",RRC,13.3,0.389766,
