GCVS,STAR,CONST.,RA(2000),DEC,Type,V[mag],P[days],Spec
10012,RT,And,23h11m10.1s,53o1'33",EA/R,8.97,0.6289216,F8V+K1
10025,SY,And,0h13m16.4s,43o42'41",EA,10.7,34.90847,A0+K1
10027,TT,And,23h13m22.9s,46o8'51",EA,11.5,2.765101,A
10030,TW,And,0h3m18.2s,32o50'45",EA,8.98,4.122834,F0V+K0
10034,UU,And,0h43m45.1s,30o56'19",EA,11.2,1.486293,A8IV/V
10045,WW,And,23h44m53.5s,45o41'11",EA,10.92,23.285213,A5+F3p
10046,WX,And,0h45m37.3s,28o45'0",EA,12.1,3.001134,F5IV
10048,WZ,And,1h1m43.6s,38o5'47",EB,11.16,0.6956638,F5
10051,XZ,And,1h56m51.5s,42o6'2",EA,9.91,1.3573091,A1V
10055,AA,And,23h5m22.8s,47o40'34",EB,10.3,0.9350969,B8V
10056,AB,And,23h11m32.1s,36o53'35",EW,9.49,0.3318912,G5+G5V
10058,AD,And,23h36m45.0s,48o40'15",EB,11.2,0.986202,A0V
10066,AM,And,0h5m7.5s,48o27'5",EA,12.5,8.850510,
10067,AN,And,23h18m23.3s,41o46'25",EB,5.96,3.21952,A7mIII-IV
10069,AP,And,23h49m30.7s,45o47'21",EA,11.3,1.5872910,F5
10072,AS,And,23h39m1.8s,47o14'48",EA,13.8,,
10082,BD,And,23h7m5.2s,50o57'30",EB,11.3,0.4629057,F8
10089,BL,And,23h11m24.3s,51o52'31",EB,11.15,0.72237587,A0
10092,BO,And,22h58m38.2s,45o31'51",EA,13.4,5.797370,B8
10096,BS,And,23h12m47.0s,51o52'25",EA,15.3,3.1461666,
10101,BX,And,2h9m3.4s,40o47'39",EB,8.87,0.6101119,F2V
10105,CD,And,1h26m28.4s,44o21'25",EA,9.9,68.8832,F8
10114,CN,And,0h20m30.5s,40o13'33",EB,9.62,0.46279092,F5V
10115,CO,And,1h11m24.8s,46o57'49",EA,11.1,1.8276678,F8
10116,CP,And,2h12m51.2s,45o37'51",EA,11.4,3.608986,A5
10121,CU,And,23h1m1.6s,49o58'25",EA,12.5,1.71601,
10126,CZ,And,23h9m0.9s,49o36'51",EA,12.4,2.717200,A6
10133,DK,And,23h28m45.9s,50o34'29",EW,12.5,0.4892224,
10137,DO,And,0h10m57.1s,42o6'40",EB,12.3,1.348707,
10141,DS,And,1h57m46.0s,38o4'28",EA,10.44,1.0105188,F2III
10145,DW,And,23h14m27.6s,42o1'14",E,13.6,,
10155,EL,And,1h26m27.9s,44o56'13",EA,13.3,5.242,
10159,EP,And,1h42m29.3s,44o45'42",EW,11.3,0.40410755,
10167,EX,And,23h39m51.9s,47o45'2",EA,12.7,1.632498,
10174,FK,And,1h7m3.1s,37o29'5",EA,14.0,2.26941,
10175,FL,And,1h8m1.4s,36o53'21",EA,14.3,0.9056485,
10188,FY,And,23h23m28.6s,50o15'57",EA,14.9,2.691785,
10191,GH,And,23h37m40.4s,50o14'33",EA,13.5,,
10193,GK,And,23h53m47.2s,45o34'45",EA,11.3,2.009316,
10205,GW,And,0h35m9.4s,41o40'3",EA,14.6,2.279354,
10208,GZ,And,2h12m14.1s,44o39'34",EW,10.83,0.3050169,
10218,HR,And,0h33m46.7s,44o4'9",EA,14.7,1.2357,
10219,HS,And,0h34m33.8s,41o20'5",EA,12.7,1.8571884,
10221,HU,And,0h39m29.7s,40o4'59",EW,16.5,0.285789,
10229,IL,And,0h46m13.5s,39o46'8",EA,15.7,0.86759,
10230,IM,And,0h46m46.8s,39o38'33",EW,18.3,0.270377,
10233,IP,And,0h55m3.4s,40o37'1",EA,16.8,3.0798,
10247,KN,And,2h36m8.8s,38o9'21",EA,11.7,2.2621866,
10249,KP,And,23h9m56.5s,41o35'3",EA,11.5,1.40538,A0
10257,KX,And,23h7m6.2s,50o11'32",BE,6.88,,B3pe+K1III
10261,LM,And,2h11m9.3s,48o51'34",EB,12.2,0.7611836,
10263,LO,And,23h27m6.7s,45o33'22",EW,11.2,0.3804427,
10271,LW,And,2h19m38.0s,38o27'26",EA,15.5,1.94,
10273,LY,And,2h21m52.5s,38o37'42",EW,14.1,0.34505,
10275,MM,And,2h22m41.7s,43o9'31",EA,16.5,0.516833,
10276,MN,And,2h22m51.1s,41o55'35",EB,15.1,0.610651,
10277,MO,And,2h23m53.7s,39o59'2",EA,13.2,1.930460,
10281,MS,And,2h25m46.9s,39o58'45",EW,15.8,0.278120,
10282,MT,And,2h27m4.8s,40o3'28",EW,14.8,0.358781,
10285,MW,And,2h31m29.0s,39o41'19",EW,15.0,0.26375,
10288,MZ,And,2h38m5.2s,43o18'22",EW,15.2,0.362234,
10301,NZ,And,1h23m41.3s,36o28'57",EA,14.9,0.899669,
10307,OT,And,23h20m1.2s,41o45'17",EA,7.32,20.85290,
10314,PP,And,2h10m42.5s,38o18'31",EA,14.3,2.71646,
10322,PX,And,0h30m5.9s,26o17'26",E+NL,14.04,0.146350,pecUG
10326,QR,And,0h19m49.9s,21o56'52",EA+N,12.16,0.6604565,pece
10327,QS,And,0h21m40.6s,28o9'27",EW,16.67,0.276682,
10331,QW,And,1h18m48.3s,49o39'36",EW,12.6,0.4918690,
10332,QX,And,1h57m57.8s,37o48'22",EW,11.28,0.411816,F6
10342,V0342,And,0h10m3.2s,46o23'25",EA,7.58,2.63934,A3
10348,V0348,And,0h15m17.8s,44o12'12",EA,6.75,5.5392,B9
10355,V0355,And,0h44m11.3s,46o14'8",EA,7.69,4.71841,F5
10363,V0363,And,1h31m46.6s,36o5'38",EB,9.10,1.27799,A2
10372,V0372,And,2h5m18.2s,45o5'34",EA,9.05,2.940986,A5
10376,V0376,And,2h35m11.6s,49o51'37",EB,7.68,0.7986720,A0
10382,V0382,And,23h9m58.0s,42o50'9",EB,9.16,1.478983,A0
10389,V0389,And,23h32m1.3s,43o49'20",EA,8.22,,A0
10392,V0392,And,23h38m48.7s,44o24'45",EA,9.07,4.046275,A2
10395,V0395,And,23h44m32.1s,46o22'48",EW,7.55,0.6847,A0
10404,V0404,And,1h1m24.4s,41o15'0",EA/R,10.3,0.67603321,
10406,V0406,And,2h35m25.6s,45o56'3",EB,9.22,2.165032,B8
10411,V0411,And,23h40m28.3s,50o33'0",EB,15.0,0.8114528,
10412,V0412,And,23h53m39.0s,45o37'22",EA,11.95,1.90871,
10413,V0413,And,23h54m4.0s,39o16'57",EA/R,7.61,53.,G0III
10422,V0422,And,23h7m57.1s,50o11'43",EB,13.4,1.0155849,
10425,V0425,And,23h27m37.3s,50o17'16",EA,13.3,1.420743,
10440,V0440,And,0h26m49.5s,41o49'8",EA,12.64,1.58260,
10441,V0441,And,0h56m44.2s,41o29'22",EW,13.48,0.4696,
10444,V0444,And,1h15m28.7s,41o19'59",EW,13.04,0.4688,
10449,V0449,And,2h9m46.8s,46o43'17",EW,12.2,0.33853,
10450,V0450,And,2h12m55.0s,40o40'6",BY,7.19,7.6,G0V
10452,V0452,And,23h18m59.2s,48o31'30",EB,13.7,0.9784,
10458,V0458,And,1h44m2.1s,48o2'43",EA,12.20,2.2904,
10462,V0462,And,23h19m32.6s,45o55'32",EA,12.25,4.279,
10463,V0463,And,23h20m13.9s,37o8'39",EB,12.15,0.406095,
10468,V0468,And,0h9m46.5s,40o11'34",EA,10.90,12.747,
10469,V0469,And,0h11m22.0s,42o5'39",EW,14.70,0.328201,
10472,V0472,And,0h15m50.1s,41o28'3",EB,12.85,0.850445,
10473,V0473,And,0h16m5.4s,41o51'24",EW,13.37,0.401299,
10474,V0474,And,0h16m50.1s,43o44'56",EW,13.18,0.520420,
10477,V0477,And,0h18m31.3s,30o25'57",EW,13.25,0.36265,
10479,V0479,And,0h18m56.9s,34o54'44",NL,17.30,,
10480,V0480,And,0h19m12.7s,33o1'11",EW,12.75,0.51003,
10483,V0483,And,0h20m35.3s,40o4'16",EW,11.97,0.29707,
10484,V0484,And,0h21m5.4s,32o29'17",EW,13.0,0.34900,
10485,V0485,And,0h21m19.2s,35o24'15",EW,11.08,1.03257,
10487,V0487,And,0h21m27.0s,30o13'23",EB,11.6,1.04068,
10488,V0488,And,0h22m6.0s,40o31'24",EB,12.55,0.68216,
10489,V0489,And,0h24m39.1s,24o55'22",EB,12.3,0.4227560,
10490,V0490,And,0h26m48.8s,41o50'4",EW,14.6,0.424184,
10497,V0497,And,0h39m55.9s,34o14'52",EW,14.50,0.305122,
10502,V0502,And,0h43m38.3s,30o12'45",EW,13.68,0.318880,
10504,V0504,And,0h45m0.3s,38o43'56",EW,13.03,0.648074,
10505,V0505,And,0h45m38.6s,37o28'29",EW,13.47,0.3941437,
10506,V0506,And,0h46m37.8s,31o51'17",EW,13.34,0.3434489,
10508,V0508,And,0h47m44.2s,36o2'23",EW,12.15,0.7752,
10509,V0509,And,0h48m36.9s,32o8'59",EW,12.54,0.305384,
10510,V0510,And,0h49m23.1s,32o0'36",EA,13.45,1.58697,
10512,V0512,And,0h52m17.3s,35o16'4",EA,11.8,0.74532,
10514,V0514,And,0h54m53.2s,35o28'3",EW,13.9,0.36693,
10522,V0522,And,1h3m28.9s,43o1'27",EA,13.34,7.5530,
10523,V0523,And,1h5m38.0s,36o49'5",EA,11.9,0.52854,
10525,V0525,And,1h16m48.1s,34o18'10",EA/R,11.2,1.4290,
10527,V0527,And,1h22m35.7s,34o19'35",EW,10.65,0.70065,
10530,V0530,And,1h27m41.0s,33o51'55",EB,12.6,0.57723,
10531,V0531,And,1h30m15.9s,33o39'18",EW,11.40,0.40633,
10533,V0533,And,1h31m30.5s,38o9'51",EB,13.36,0.6032573,
10537,V0537,And,1h35m19.3s,37o46'37",EA,11.4,0.90075,
10538,V0538,And,1h36m14.7s,38o4'34",EB,13.48,0.5188061,
10541,V0541,And,1h37m36.1s,38o3'57",EA,12.58,3.9754056,
10543,V0543,And,1h42m25.3s,37o55'24",EA,11.0,0.9264,
10546,V0546,And,1h51m12.6s,43o49'7",EW,11.23,0.38303,
10547,V0547,And,1h52m3.0s,37o48'8",EA/R,11.38,1.9530,
10549,V0549,And,1h55m18.3s,40o55'33",EW,13.90,0.315968,
10552,V0552,And,1h57m39.9s,43o55'3",EW,16.89,0.281316,
10553,V0553,And,1h57m51.1s,44o2'14",EW,17.12,0.30903,
10554,V0554,And,1h57m57.2s,44o27'50",EW,16.32,0.35291,
10555,V0555,And,1h58m18.2s,43o59'27",EB,14.35,0.71681,
10556,V0556,And,1h58m47.8s,44o33'4",EW,14.55,0.43141,
10557,V0557,And,1h59m10.8s,38o12'32",EW,14.2,0.347444,
10558,V0558,And,1h59m17.9s,44o7'57",EW,15.62,0.31092,
10559,V0559,And,2h0m24.7s,44o22'56",EW,16.05,0.34708,
10560,V0560,And,2h1m30.0s,44o29'14",EA,13.91,0.88508,
10561,V0561,And,2h2m3.6s,43o54'35",EW,16.03,0.33479,
10563,V0563,And,2h2m40.1s,36o42'40",EW,13.7,0.3057893,
10564,V0564,And,2h3m8.4s,44o10'23",EW,13.98,0.39177,
10565,V0565,And,2h3m27.8s,44o14'51",EW,12.17,0.3272,
10566,V0566,And,2h7m20.0s,35o38'55",EW,10.85,0.38970,
10567,V0567,And,2h7m59.5s,40o17'56",EA,11.65,3.0155,
10568,V0568,And,2h13m5.4s,40o49'31",EW,13.9,0.394255,
10575,V0575,And,2h28m44.3s,37o28'59",EW,12.0,0.6780,
10579,V0579,And,22h59m11.1s,36o21'17",EW,12.5,0.338134,
10581,V0581,And,23h0m23.9s,48o18'9",EA,10.40,19.9615,
10593,V0593,And,23h3m44.1s,36o15'22",EW,12.8,0.372177,
10597,V0597,And,23h6m4.1s,48o35'24",EW,11.69,0.46775,
10600,V0600,And,23h6m36.2s,47o15'30",EW,12.30,0.396770,
10611,V0611,And,23h9m19.9s,48o14'47",EB,13.56,0.5864,
10613,V0613,And,23h10m12.4s,47o34'14",EA,9.15,1.875798,A5
10629,V0629,And,23h16m53.0s,44o29'18",EA,11.2,0.7426,
10630,V0630,And,23h17m3.9s,53o2'19",EA,14.40,2.8271,
10634,V0634,And,23h19m22.3s,36o49'9",EB,14.06,0.5774022,
10638,V0638,And,23h19m50.5s,44o7'33",EW,11.52,0.33271,
10645,V0645,And,23h23m0.6s,49o14'33",EW,13.05,0.41255,
10649,V0649,And,23h24m29.1s,47o43'50",EA,11.55,1.6116,
10651,V0651,And,23h24m48.9s,48o30'7",EA,12.38,1.2138,
10662,V0662,And,23h28m27.5s,45o22'40",EA/R,10.65,1.7176,
10664,V0664,And,23h28m59.5s,35o24'43",EW,12.58,0.42110,
10666,V0666,And,23h29m33.6s,45o59'9",EW,12.82,0.4556,
10667,V0667,And,23h29m43.2s,48o36'57",EB,12.90,0.694498,
10674,V0674,And,23h32m41.3s,46o47'57",EA,10.65,2.84822,
10676,V0676,And,23h34m13.9s,36o39'57",EW,12.86,0.364527,
10678,V0678,And,23h35m12.3s,44o39'33",EW,13.7,0.3617120,
10680,V0680,And,23h35m33.3s,43o46'56",EW,13.3,0.36346,
10683,V0683,And,23h36m27.8s,44o7'24",EA,10.45,1.5580,F8
10687,V0687,And,23h38m27.9s,36o34'51",EW,11.68,0.395043,F3V
10692,V0692,And,23h39m12.4s,45o27'51",EW,12.85,0.3380213,
10702,V0702,And,23h43m50.9s,35o49'20",EW,12.78,0.3406955,
10705,V0705,And,23h45m21.6s,34o8'20",EW,11.12,0.354665,
10706,V0706,And,23h48m19.8s,34o48'34",EA,11.80,2.52094,
10707,V0707,And,23h48m23.6s,36o18'40",EA,9.93,2.588628,F5V
10712,V0712,And,23h54m39.2s,36o45'15",EW,10.27,0.367168,G0V
10713,V0713,And,23h55m8.3s,33o22'28",RRC,12.01,0.318456,
10714,V0714,And,23h56m30.5s,36o28'53",EA,12.00,2.498501,
10716,V0716,And,0h10m46.2s,28o50'44",EW,14.03,0.266064,
10720,V0720,And,0h18m50.3s,40o4'4",EB,13.7,0.2908708,
10721,V0721,And,0h19m59.0s,40o32'30",EW,13.63,0.521973,
10722,V0722,And,0h27m22.8s,25o10'1",EW,13.56,0.331121,
10723,V0723,And,0h27m27.8s,36o50'8",EW,13.41,0.416155,
10724,V0724,And,0h32m43.8s,25o6'41",EW,13.15,0.2681760,
10725,V0725,And,0h36m35.8s,42o18'18",EA/R,12.45,1.18552,
10726,V0726,And,0h36m54.1s,42o20'22",EW,10.2,0.503365,
10732,V0732,And,0h49m20.2s,23o25'16",EW,12.35,0.359233,
10733,V0733,And,0h51m23.0s,42o50'33",EW,13.18,0.4061941,
10735,V0735,And,0h56m17.2s,38o10'59",EA,10.73,1.46513,
10736,V0736,And,0h57m30.9s,37o38'19",EW,10.25,0.359617,
10738,V0738,And,1h16m51.9s,35o0'39",EW,13.86,0.2646560,
10741,V0741,And,1h20m53.0s,43o38'57",EW,12.91,0.544307,
10743,V0743,And,1h28m19.5s,34o8'29",EW,13.35,0.408978,
10745,V0745,And,1h32m27.6s,41o36'33",EB,12.22,0.3234825,
10756,V0756,And,2h12m2.2s,47o23'28",EW,12.40,0.43823514,
10757,V0757,And,2h12m13.8s,45o33'14",EW,13.90,0.4386,
10760,V0760,And,2h30m50.1s,49o37'57",EW,11.88,0.451162,
10775,V0775,And,23h18m45.9s,38o49'21",EW,13.18,0.2927985,
10779,V0779,And,23h21m44.1s,39o57'7",EW,13.81,0.2988935,
10798,V0798,And,1h43m1.8s,37o50'58",EA,10.84,0.8184,
10801,V0801,And,2h0m9.1s,43o2'43",EW,11.95,0.266655,
10803,V0803,And,2h9m47.5s,47o4'32",EW,12.87,0.3376611,
19006,zet,And,0h47m20.3s,24o16'1",ELL/,3.92,17.769586,K1IIe
19015,omi,And,23h1m55.3s,42o19'33",GCAS,3.55,,B6IIIpe+A2p
19015,omi,And,23h1m55.3s,42o19'33",GCAS,3.55,,B6IIIpe+A2p
20002,S,Ant,9h32m18.4s,-28o37'40",EW,6.27,0.6483489,F3V
20008,Y,Ant,10h8m32.8s,-35o10'28",EA,10.04,6.1039,F2III/IV
20023,SW,Ant,9h48m27.5s,-25o11'25",EW,13.1,0.380204,
20034,UU,Ant,9h46m52.5s,-26o42'45",EA,11.94,1.36411,
20040,VV,Ant,11h5m45.7s,-38o21'23",EA,12.6,0.78419,
20041,VW,Ant,9h29m5.2s,-39o33'38",EB,11.2,1.08401,
20046,WX,Ant,10h31m5.3s,-35o58'26",EA,11.25,3.8171,
20048,WZ,Ant,10h6m22.5s,-38o52'53",EW,11.7,0.445924,
20049,XX,Ant,9h49m24.7s,-38o20'57",EA,8.60,0.888014,A8/F0V
20050,XY,Ant,10h18m12.2s,-36o48'18",EA,9.95,2.1803,
20051,XZ,Ant,10h18m27.6s,-33o16'32",EA,9.65,7.150737,
20053,YZ,Ant,10h17m33.8s,-32o28'9",EA,10.48,2.152391,A1IV
20085,BG,Ant,9h34m23.7s,-25o33'13",EB,13.64,0.6545314,
20092,BO,Ant,10h7m53.8s,-32o35'52",EB,8.87,1.0601704,A5V
20099,BV,Ant,11h1m25.5s,-37o10'18",EA,11.50,3.594290,
20102,BY,Ant,10h22m48.4s,-33o36'58",EA,9.21,9.8604,Fm
20104,CC,Ant,10h33m29.4s,-36o3'57",EA,7.68,2.44514,A8III
20105,CD,Ant,10h41m29.7s,-34o12'52",EA,10.33,2.59549,
20107,CF,Ant,10h52m21.4s,-36o18'10",EA,10.11,3.067276,G2
30014,RV,Aps,14h24m17.0s,-73o17'27",EA,12.1,34.07502,A-F
30019,SS,Aps,14h34m29.8s,-72o55'44",EB,13.30,0.582672,
30025,SY,Aps,14h39m24.3s,-72o49'35",EW,12.7,0.278908,
30026,SZ,Aps,14h39m11.9s,-71o38'29",EA,13.6,3.5208,
30029,TV,Aps,14h45m49.7s,-71o17'39",EW,13.8,0.647493,
30046,WX,Aps,14h15m32.6s,-74o15'36",EA,11.41,4.6967613,
30052,YY,Aps,15h2m34.3s,-72o45'10",EB,11.34,0.855552,
30060,AF,Aps,15h31m17.0s,-78o20'42",EW,13.4,0.7976244,
30065,AL,Aps,15h37m38.4s,-75o44'48",EA,12.90,7.432415,
30067,AN,Aps,15h41m16.3s,-73o57'44",EB,12.5,1.045547,
30069,AP,Aps,15h44m19.4s,-76o15'15",EB,14.4,5.378,
30072,AS,Aps,15h46m43.2s,-73o27'16",EW,13.6,0.38560,
30075,AV,Aps,15h48m49.6s,-74o30'32",EB,13.8,0.7095,
30078,AY,Aps,15h58m15.6s,-77o38'38",EA,12.6,1.28707,
30080,BB,Aps,15h58m40.7s,-77o52'16",EB,12.1,2.5332604,
30086,BH,Aps,16h8m40.2s,-76o50'27",EA,11.3,3.650732,
30092,BO,Aps,16h17m55.5s,-72o37'31",EA,13.2,1.84995,
30099,BV,Aps,16h28m8.3s,-79o57'41",EA,12.4,1.646861,
30105,CD,Aps,16h35m29.9s,-80o45'42",EA,11.45,3.30165,
30118,CR,Aps,16h59m6.3s,-81o7'50",EA,13.8,2.1778,
30125,CY,Aps,17h3m3.6s,-76o33'51",EA,13.3,3.82970,
30143,DU,Aps,17h25m46.0s,-78o23'25",EA,11.5,3.087728,
30145,DW,Aps,17h23m30.0s,-67o55'44",EA,8.86,2.3129485,B6III
30150,EF,Aps,17h31m17.1s,-74o38'24",EA,11.7,10.08111,
30177,FN,Aps,15h51m33.3s,-72o22'22",EA,11.07,5.730774,
30188,FY,Aps,17h14m20.2s,-70o0'48",EA,10.63,2.7498106,
30189,FZ,Aps,14h28m24.8s,-82o50'8",EA,12.7,2.89051,
30193,GK,Aps,15h14m4.7s,-79o31'19",RRC,13.4,0.298406,
30197,GO,Aps,15h30m13.9s,-76o58'14",EB,14.6,0.4991,
30199,GQ,Aps,15h36m19.0s,-78o13'46",EW,14.5,0.6353,
30203,GU,Aps,15h46m42.4s,-80o19'32",EW,14.0,0.43652,
30207,GY,Aps,15h51m32.1s,-73o33'51",EW,13.9,0.3752,
30212,HL,Aps,16h7m52.4s,-79o49'33",EB,12.5,0.9562174,
30220,HT,Aps,16h20m6.5s,-78o55'9",EB,14.0,0.4000,
30224,HX,Aps,16h24m48.8s,-75o18'33",EB,14.2,1.0312,
30227,II,Aps,16h27m41.9s,-74o50'44",EB,10.90,0.8422536,
30232,IO,Aps,16h35m27.7s,-74o33'17",EA,12.6,7.94680,
30235,IR,Aps,16h42m43.3s,-76o51'39",EW,13.4,0.37142,
30238,IU,Aps,16h53m38.5s,-80o55'54",EW,14.2,0.3046,
30242,IY,Aps,16h54m11.0s,-74o2'49",EW,12.7,0.3422,
30247,KN,Aps,17h7m16.4s,-74o11'16",EA,14.12,2.851103,
30255,KV,Aps,17h17m45.4s,-76o21'45",EB,13.63,0.738365,
30262,LN,Aps,17h43m56.1s,-78o28'45",EW,13.1,0.474137,
30263,LO,Aps,17h47m10.2s,-77o37'19",EB,11.18,1.331205,
30275,MM,Aps,15h58m7.2s,-72o18'47",EA,12.32,3.7300,
30280,MR,Aps,17h7m57.5s,-73o43'35",EB,10.58,0.5278636,
30295,NT,Aps,14h42m42.6s,-74o18'41",EW,8.20,0.2947648,G3/G5V
30298,NW,Aps,14h55m38.5s,-79o48'20",EB,9.10,1.0655586,F5IV/V
30305,OR,Aps,16h16m32.3s,-78o8'0",LPB,9.11,1.2223,B7III
30307,OT,Aps,16h39m9.3s,-75o29'19",EA,8.00,2.426577,B9.5IV
30313,OZ,Aps,17h32m36.0s,-68o4'3",EA,8.57,27.03726,A1V
30314,PP,Aps,17h43m4.7s,-70o52'21",EA,9.70,4.2799,A3mA5-A8
30317,PS,Aps,15h31m11.1s,-78o45'10",EB,7.86,1.086152,F3V
30318,PT,Aps,14h15m33.0s,-72o17'39",EA,12.19,2.74188,
30319,PU,Aps,14h37m53.2s,-74o21'56",EA,12.35,5.05085,
30320,PV,Aps,15h11m28.5s,-73o25'34",EA,7.80,28.877,A9III/IV
30322,PX,Aps,16h45m29.9s,-76o48'18",EB,12.31,0.820805,
30324,PZ,Aps,17h24m47.0s,-69o8'48",EA,11.50,5.3275,
30325,QQ,Aps,18h17m1.8s,-78o10'33",EA,13.3,10.195,
30339,V0339,Aps,14h27m55.3s,-72o52'31",EB,13.2,0.551208,
30340,V0340,Aps,14h30m36.4s,-73o29'45",EA,13.3,2.7842,
30357,V0357,Aps,15h31m56.0s,-78o23'4",EW,15.5,0.304568,
30364,V0364,Aps,16h10m19.3s,-76o52'4",EW,14.3,0.295466,
40017,RY,Aqr,21h20m16.0s,-10o48'8",EA,8.82,1.966577,A3
40020,ST,Aqr,22h21m1.9s,-6o57'51",EB,9.15,0.7809919,A7+G8IV
40021,SU,Aqr,22h52m3.9s,-12o56'43",EA,9.67,1.0446981,A5V
40034,UU,Aqr,22h9m5.7s,-3o46'17",EA+N,12.85,0.163580482,pece
40051,XZ,Aqr,22h5m0.8s,-8o49'39",EA,11.8,2.059232,
40066,AM,Aqr,22h11m7.4s,-19o31'33",EW,12.8,0.373740,
40068,AO,Aqr,22h11m31.9s,-22o47'16",EW,11.04,0.4893432,F
40073,AT,Aqr,22h20m17.8s,-20o6'50",EW,13.1,0.3040946,
40074,AU,Aqr,22h21m37.2s,-24o46'48",EW,12.6,0.3711503,
40078,AY,Aqr,22h26m52.1s,-19o25'10",EW,13.4,0.281996,
40087,BI,Aqr,22h40m11.4s,-23o13'40",EB,11.85,13.0470,
40094,BQ,Aqr,23h36m8.9s,-16o28'8",EA,10.7,6.620525,
40100,BW,Aqr,22h23m15.9s,-15o19'56",EA,10.31,6.719708,F8IV+F7IV
40101,BX,Aqr,20h51m43.1s,-11o5'29",EA,12.0,1.529629,
40105,CD,Aqr,21h19m59.4s,-4o6'32",EA,10.8,4.837761,A5
40111,CK,Aqr,21h1m2.3s,-11o4'26",EW,12.86,0.2833718,
40113,CM,Aqr,21h8m25.5s,-13o54'3",RRC,13.3,0.351834,
40117,CQ,Aqr,21h10m59.6s,-14o18'14",EA,13.5,0.9801057,
40118,CR,Aqr,21h11m13.9s,-13o59'14",EB,13.2,0.514509,
40123,CW,Aqr,22h19m22.3s,-16o53'33",EB,10.62,0.5429077,
40124,CX,Aqr,22h35m43.9s,0o41'32",EB,10.55,0.5559894,F2p
40126,CZ,Aqr,23h22m20.6s,-15o56'20",EA,10.70,0.86275209,A7V
40127,DD,Aqr,22h45m53.3s,1o2'58",EB,10.63,0.7210127,A5p
40140,DR,Aqr,21h5m31.3s,2o15'8",EA,13.6,1.277989,
40144,DV,Aqr,20h58m41.8s,-14o28'59",EB,5.89,1.575529,A9IV
40146,DX,Aqr,22h2m26.3s,-16o57'53",EA,6.43,0.9450106,A2V
40147,DY,Aqr,22h19m4.3s,-2o38'30",EA,10.23,2.159702,A0
40149,EE,Aqr,22h34m42.0s,-19o51'35",EB,7.91,0.50899582,F0V
40150,EF,Aqr,23h1m19.1s,-6o26'15",EA,9.88,2.85358,G1V
40153,EI,Aqr,21h29m20.3s,-6o59'0",EA,11.5,1.222318,
40154,EK,Aqr,23h39m16.2s,-9o9'5",EW,10.80,0.612790,
40155,EL,Aqr,23h47m18.4s,-8o5'12",EW,10.35,0.4814092,F3V
40158,EO,Aqr,21h33m9.0s,-3o33'5",EA,14.1,3.115964,
40167,EX,Aqr,21h15m14.8s,2o28'45",EB,11.6,0.8893842,
40178,FO,Aqr,22h17m55.3s,-8o21'4",XM,12.7,0.2020596,pece
40182,FS,Aqr,22h5m43.1s,0o23'45",EW,12.5,0.2620461,
40186,FW,Aqr,22h12m4.1s,-9o43'25",EA,12.95,4.8865,
40189,FZ,Aqr,22h17m8.3s,-6o5'47",EW,14.5,0.6791072,
40191,GH,Aqr,22h19m54.2s,-5o1'49",EW,12.6,0.305583,
40193,GK,Aqr,22h19m56.9s,0o39'46",EW,12.0,0.3274176,
40195,GM,Aqr,22h21m57.9s,-2o40'2",EW,13.4,0.3672862,
40196,GN,Aqr,22h22m18.7s,-4o12'22",EA,11.72,4.40445,
40201,GS,Aqr,22h27m33.6s,0o17'17",EW,13.1,0.374066,
40204,GV,Aqr,22h30m2.8s,-8o6'26",DSCT,12.8,0.168383,
40208,GZ,Aqr,22h40m58.2s,-7o33'3",EW,14.6,0.3027271,
40219,HS,Aqr,20h40m54.0s,0o35'50",EA,9.07,0.7101875,F8V+G
40222,HV,Aqr,21h21m24.8s,-3o9'36",EW/R,9.74,0.3744583,
40232,IO,Aqr,20h40m45.5s,0o56'21",EA,8.80,2.368091,G0
40257,KX,Aqr,22h31m13.4s,-22o59'47",EA,8.11,2.073225,F8/G0V
40260,LL,Aqr,22h34m42.2s,-3o35'58",EA,9.23,20.1784,G0
40277,MO,Aqr,21h3m57.0s,-2o10'3",EW,9.95,0.398140,
40283,MU,Aqr,20h48m13.3s,-1o29'25",EW,11.11,0.272220,
40289,NN,Aqr,21h43m54.0s,0o13'40",EW,13.47,0.30678,
40290,NO,Aqr,20h44m18.0s,-12o48'1",EW,14.15,0.32275,
40291,NP,Aqr,20h51m19.0s,-13o55'27",EB,7.59,0.806982,F0V
40292,NQ,Aqr,21h7m53.5s,-11o33'25",EW,12.3,0.429587,
40298,NW,Aqr,22h49m43.0s,0o46'1",EW,13.3,0.301628,
40302,OO,Aqr,20h49m43.2s,-13o7'35",EW,9.20,0.5866150,A5IV/V
40305,OR,Aqr,21h13m13.7s,-4o16'0",EA,7.94,11.42365,F0V
40306,OS,Aqr,21h25m39.2s,-13o32'18",EB,12.1,0.5867719,
40309,OV,Aqr,23h26m8.6s,-19o22'23",EA,8.72,21.66595,F2V
40323,PY,Aqr,20h53m56.0s,-6o32'1",EW,12.7,0.402089,
40324,PZ,Aqr,20h54m13.4s,-8o18'37",EW,15.82,0.2531542,
40325,QQ,Aqr,20h54m38.1s,-7o38'56",EW,15.57,0.268700,
40326,QR,Aqr,20h55m1.3s,-6o57'55",EW,13.0,0.2409176,
